4010101001;Nama Produk;;Nama Material;;Jumlah Per Karton;Satuan
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,005127028;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;5,088575131;KG
;;;;;;
4010107005;WETKINS BABY PINK 24S FG MLN @54;;;;;
;;;;;;
4010107003;WETKINS BABY PINK 24S BND @27X2;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,294704;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104002;PACKAGING WKN BABY PINK 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010601002;PLASTIK BANDED 24S ;;27;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004101622;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,012304867;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,003076217;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,005127028;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;5,088575131;KG
;;;;;;
4010108001;WETKINS BABY PINK 50S @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003657139;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,010971418;KG
